Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
El Capo;El Capo;TMDB;2009 - 2014;La historia cuenta la vida de Pedro Pablo León Jaramillo, un gran capo de la mafia del narcotráfico. Relata cómo asciende desde los barrios más humildes de Colombia hasta las negras cumbres del mundo criminal.  El personaje central no es en realidad ningún capo en particular, sino una mezcla de las principales líneas de los capos más conocidos de la historia de los carteles de Colombia, en si es un capo ficticio. Las grandes líneas de la historia son: la caza y captura del Capo, su detención en una cárcel en la que cuenta con todos los medios para seguir delinquiendo desde ella y para preparar su fuga, su supuesta muerte primero y su acribillamiento finalmente. Alrededor de Pedro Pablo León Jaramillo gira toda una galaxia de familiares, amigos, enemigos y cómplices, que muestran cómo todos terminan pagando de diversas maneras las consecuencias del contacto con el narcotráfico, que con sus tentáculos se infiltra en todas las capas de la sociedad y en todas las instituciones del poder ejecutivo, judicial, legislativo, militar, político, periodístico y narcótico, etcétera.;https://image.tmdb.org/t/p/original/hTwfFidPtRU3BUH8mK90jWyPyBr.jpg;https://image.tmdb.org/t/p/original/9bdNwt53JFU1b6oor8eDipNO79i.jpg;Crimen, Drama;7.687;3;226;https://www.themoviedb.org/tv/31268;T1:90|T2:76|T3:60;Marlon Moreno (Pedro Pablo León Jaramillo 'El Capo'), Katherine Vélez (Isabel Cristina Marín), Óscar Borda (Osvaldo Tovar 'Tato'), Maria Adelaida Puerta (Pilar Monroy 'La Perrys'), Juan Carlos Vargas (Detective Diego Velandia), Natalia Jerez (Julieta León Marín 'la Mona Lisa');https://image.tmdb.org/t/p/w185/kDoq3qs9V8CU7xbVTrvO4kUac6t.jpg, https://image.tmdb.org/t/p/w185/kWYZ7dHKVXDdOlLwhmKctKjy41F.jpg, https://image.tmdb.org/t/p/w185/fpkYdP5Dv65MyeFjsNHJavOtZZF.jpg, https://image.tmdb.org/t/p/w185/noYeO2kPdmRIfv6xnDNSQoOQQzU.jpg, https://image.tmdb.org/t/p/w185/Ab2eb3ZWX2sxoubv89LSBl6hnPL.jpg, https://image.tmdb.org/t/p/w185/vq8vSPOTC27JIDxAUhoPgmgYri4.jpg;Creador: Gustavo Bolívar | Director: Riccardo Gabrielli R., Lilo Vilaplana;La querida del Centauro, Corazón Indomable, La desalmada, The Endgame, Corona de lágrimas;
El Cartel de los Sapos;El Cartel de los Sapos;TMDB;2008 - 2010;"La ambición, la codicia, el miedo, la traición y el amor, conjugados, pueden convertir al ""sencillo"" negocio del narcotráfico en un verdadero y peligroso infierno.";https://image.tmdb.org/t/p/original/cSvzG2B2uafu5BoP5nt0OvrVrQG.jpg;https://image.tmdb.org/t/p/original/4jTSmEGdZ77A2dP6Y08gwo52LuF.jpg;Acción, Drama;7.5;2;107;https://www.themoviedb.org/tv/7458;T1:57|T2:50;Juan Pablo Raba (Pirulito), Diego Cadavid (Pepe Cadenas), Sandra Reyes (Amparo Cadenas), Sergio Borrero (Emilio Sarmiento);https://image.tmdb.org/t/p/w185/xXgB3pOpYWs8NlePS0QrRiYV5FD.jpg, https://image.tmdb.org/t/p/w185/wkZJ5hYJ8VmO3dtSfsIIqJngZJL.jpg, https://image.tmdb.org/t/p/w185/c4MJaYy8ncxjkSRlJk9zeM7ii4a.jpg, https://image.tmdb.org/t/p/w185/pbgdB3MQCtYiFXd1Cqynx8Vl9Db.jpg;Creador: Andrés López López;Enemigo íntimo, El final del paraíso, Rosario Tijeras, El Dragón: El regreso de un guerrero, Kung Fu;
El Chapo;El Chapo;TMDB;2017 - 2018;Una mirada a la vida del capo de la droga notorio, El Chapo, desde sus primeros días en la década de 1980 que trabajan para el Cártel de Guadalajara, a su llegada al poder de durante los años 90 y su caída final en 2016.;https://image.tmdb.org/t/p/original/2ClXk4PoOGmkk676y4q6T26GJOb.jpg;https://image.tmdb.org/t/p/original/4kp7ZwgminnWqgFwO5QEiWS5BNa.jpg;Drama, Crimen;7.533;3;32;https://www.themoviedb.org/tv/71411;T1:7|T2:12|T3:13;Marco de la O (Joaquin 'El Chapo' Guzman), Valentina Acosta (Alejandra), Juan Carlos Olivas (El Güero), Humberto Busto (Don Sol), Alejandro Aguilar (Toño), Hernán Romo (Benjamin Avendaño);https://image.tmdb.org/t/p/w185/rPjyiarlF7GdAxPD91PLt9z0ZRK.jpg, https://image.tmdb.org/t/p/w185/20Lo37lVnFhPm4cxzjdebpXyVJP.jpg, , https://image.tmdb.org/t/p/w185/uFFwrUoVjd2jpcx0Wu4CP1xy5fu.jpg, , ;Creador: Daniel Posada, Silvana Aguirre Zegarra, Carlos Contreras, Ernesto Contreras, José Manuel Cravioto | Director: Ernesto Contreras, José Manuel Cravioto;Pablo Escobar, el patrón del mal, Narcos: México, Queen of the South, El Chema, Narcos;
El Chema;El Chema;TMDB;2016 - 2017;Sigue la épica transformación de un joven y astuto traficante de drogas que se convirtió en uno de los líderes del narcotráfico más infames del mundo.;https://image.tmdb.org/t/p/original/wuA7gcwhDMbZ4Y1lscXRrgmaJIi.jpg;https://image.tmdb.org/t/p/original/ekPKyVT9oMudeVukTCbJuH200TW.jpg;Crimen, Drama;7.672;2;85;https://www.themoviedb.org/tv/68734;T1:85|T2:0;Mauricio Ochmann (José María 'Chema' Venegas85), Julio Bracho (Don Ricardo Almenar Paiva), Itatí Cantoral (Blanca), Fernando Noriega (Eutimio 'Rojo' Flores), Arcelia Ramírez (Elvira Mendivil), Sergio Basañez (Tobías Clark);https://image.tmdb.org/t/p/w185/h5NuTsPV9HdsjPSuBG4vZtvKtlF.jpg, https://image.tmdb.org/t/p/w185/r1qF2fQAGT4BZXMcD0KaqNudUkA.jpg, https://image.tmdb.org/t/p/w185/mpkvomyNT4QkhjIVFV0M78pLTAr.jpg, https://image.tmdb.org/t/p/w185/2QQnUo1aEHuQwP3UEbzt8wXve1x.jpg, https://image.tmdb.org/t/p/w185/5SA0Oj5t9qp4Ck18xj6pMKZXBsW.jpg, ;Creador: Luis Zelkowicz;Power Book IV: Force, Pablo Escobar, el patrón del mal, El inmortal, Queen of the South, El Chapo;
El Color del Pecado;Da Cor do Pecado;TMDB;2004 - 2004;Una joven maranhense y un fotógrafo turístico carioca se enamoran y el destino y una mujer obsesionada con la fortuna de su familia los separan.;https://image.tmdb.org/t/p/original/enXaNoI9K6bsBQpQNTXMP57yULF.jpg;https://image.tmdb.org/t/p/original/cLftreXClWhlJnZxgoRiXYB8vaC.jpg;Comedia, Drama, Telenovela;6.7;1;185;https://www.themoviedb.org/tv/45816;T1:185;Taís Araújo (Preta de Souza), Reynaldo Gianecchini (Paco Lambertini / Apolo Sardinha), Giovanna Antonelli (Bárbara Campos Sodré), Guilherme Weber (Antônio Peixoto de Almeida (Tony)), Alinne Moraes (Moa Nascimento Mattar), Lima Duarte (Afonso Lambertini);https://image.tmdb.org/t/p/w185/jy2bViOZjvDfMv7jfPeuWAFWDyt.jpg, https://image.tmdb.org/t/p/w185/clSbSyERGdQMFFbGaWxRsj9lEBl.jpg, https://image.tmdb.org/t/p/w185/ycbdBnoMHTLDc5DL2ATCkefPjzo.jpg, https://image.tmdb.org/t/p/w185/9YkQ14Cs00AXxKAbbYjOT514tBU.jpg, https://image.tmdb.org/t/p/w185/opgDF6pMcEnxiz0jzkr7iYeEfee.jpg, https://image.tmdb.org/t/p/w185/g95EKPRa9PbG14wjiP44kPDUTKY.jpg;Creador: João Emanuel Carneiro | Director: Denise Saraceni;El clavo y la rosa, Avenida Brasil, Secrets of Sand, Empire, Fina Estampa;
El Conde Amor y Honor;El Conde: Amor y Honor;TMDB;2024 - 2024;Una condena injusta cambia la vida de Alejandro Gaitán y lo separa de la mujer que ama, Mariana Zambrano. Tras 17 años en prisión, se convierte en conde con la ayuda de otro recluso y busca vengarse de quienes lo traicionaron.;https://image.tmdb.org/t/p/original/lwcTD8hRx5Ch4sAmjNHmWigkaND.jpg;https://image.tmdb.org/t/p/original/1rGfdcrJOzqyBGo0HUa740L2GhX.jpg;Drama, Acción;8.1;1;80;https://www.themoviedb.org/tv/247174;T1:80;Fernando Colunga (Alejandro Gaitán / Conde), Ana Brenda Contreras (Mariana Zambrano), Marjorie de Sousa (Cayetana Carrá), Sergio Sendel (Gerardo Villarreal), Chantal Andere (Josefina de Zambrano), Víctor González (Ricardo Sánchez);https://image.tmdb.org/t/p/w185/jJzhBF7qVWXjqLidNbQBYpu5nDH.jpg, https://image.tmdb.org/t/p/w185/3ELp4YRikJKQDUCedSgnPpbCVDb.jpg, https://image.tmdb.org/t/p/w185/9gp7E36RuKUjckpQBmTJZidaDCF.jpg, , https://image.tmdb.org/t/p/w185/hMlHuxotoDmHjoKDqrR1Vb09gWB.jpg, https://image.tmdb.org/t/p/w185/ye8L6lhGnAmMSBJnuwajQH8VpFZ.jpg;;El final del paraíso, Chosen, The Fugitive, Chacal, Most Dangerous Game;
El extraño retorno de Diana Salazar;El extraño retorno de Diana Salazar;TMDB;2024 - 2025;Narra la historia de amor prohibido de Leonor (Angelique Boyer) y Eduardo (Sebastián Rulli) en el siglo XVII. En aquella época, los enamorados tienen un trágico final: ella es acusada de brujería y condenada a morir en la hoguera. Más de cuatro siglos después, el destino tiene algo preparado para ellos: reencarnarse en otras personas, Diana y Mario. Ahora, ella es médico y él un científico reconocido. ¿Será que la historia se repite y no podrán estar juntos porque la muerte ronda a estas dos almas gemelas? Nueva versión de la telenovela del mismo nombre protagonizada por Lucía Méndez y estrenada en 1988.;https://image.tmdb.org/t/p/original/5GGBkTWM3TlyubGyTeptu1F0pVu.jpg;https://image.tmdb.org/t/p/original/ayRyvbpsyB8Ui2Hudqkw6i2NMRu.jpg;Misterio, Drama;7.922;3;24;https://www.themoviedb.org/tv/252701;T1:8|T2:8|T3:8;Angelique Boyer (Diana Salazar / Leonor de Santiago), Sebastián Rulli (Eduardo de Carvajal / Mario Villareal), Arap Bethke (Joaquín Núñez / Conde Lucas de Treviño), Cassandra Sánchez Navarro (Irene Vallejos / Inés Betancourt), Sergio Mur (Gonzalo), Sergio Reynoso (Emiliano Salazar);https://image.tmdb.org/t/p/w185/c73CU85L1sHganTpVUHnjw3gbba.jpg, https://image.tmdb.org/t/p/w185/5RVVRhpExIGWE0lZYJSgMW0V3dR.jpg, , https://image.tmdb.org/t/p/w185/hRsoMPc59W8vRYk5ltheDpcgdeT.jpg, https://image.tmdb.org/t/p/w185/wS8bWqsm01ZQNuHpeAsQ8MGO8Xy.jpg, ;Creador: Carlos Algara;La caída de la casa Usher, Pequeñas mentirosas: Pecado original, Obsesión, La maldición de Bly Manor, Tell Me Lies;
El Hombre Equivocado;El hombre equivocado;TMDB;2020 - 2020;Özgür Atasoy es un joven adinerado que posee un restaurante y vive una vida algo alocada, ya que ha perdido la fe en el amor y en las mujeres. Por su parte, Ezgi İnal es una chica romántica que, tras haber sido traicionada por su último novio Soner, se harta de que sus relaciones no salgan bien y está decidida a conseguirlo y casarse. Así, al ver que no tiene éxito en sus conquistas, esta recurre a Özgür, su vecino, para que la oriente y le dé técnicas con el fin de conseguir al hombre que le gusta y que luego no la deje. A cambio, ella se compromete a acompañarle a la boda de su hermana fingiendo ser su novia, para ayudar a Özgür a deshacerse de las molestas peticiones de su madre, a quien le encantaría verlo casado y con hijos.;https://image.tmdb.org/t/p/original/2N3KyU8FFa4NadLbtMmhE0pMlfL.jpg;https://image.tmdb.org/t/p/original/wwtDGWtD2phaVgtejctB6P5uurr.jpg;Comedia;7.965;1;14;https://www.themoviedb.org/tv/105052;T1:14;Can Yaman (Özgür Atasoy), Özge Gürel (Ezgi İnal), Gürgen Öz (Levent Yazman), Fatma Toptaş (Cansu Akman), Sarp Can Köroğlu (Serdar Öztürk), Cemre Gümeli (Deniz Koparan);https://image.tmdb.org/t/p/w185/qjDCqpngema0dqF1DDEbOKrXC1Z.jpg, https://image.tmdb.org/t/p/w185/wG3yehWuT6e1JYJTQ9D0NXIHUoO.jpg, https://image.tmdb.org/t/p/w185/t3gzteJE86dv29LuxJleoEuka9K.jpg, https://image.tmdb.org/t/p/w185/3fZkhxCDvmSfmECV9ixGlaf5xgc.jpg, https://image.tmdb.org/t/p/w185/1niD4c7CWUUdVCBOuM796n9y09N.jpg, https://image.tmdb.org/t/p/w185/5SxWIKABjOvS9LibjY6L9IqosBH.jpg;Creador: Deniz Yorulmazer | Director: Deniz Yorulmazer;Living Single, Chowder, Coach, Benson, Murphy Brown;
El Juego De Mi Destino;El juego de mi destino;TMDB;2021 - 2022;Asiye, que lucha con sus dos hijos pequeños a una edad temprana, se dedica a la felicidad de sus hijos a pesar de todas sus privaciones, y es tanto una madre como un padre para ellos, su vida da un vuelco con el desastre que le sucedió. hija Narciso, a quien ella evita de sus ojos. Después de eso, el camino de Asiyah se cruza con Mahir, un extraño desconocido que los ayuda, quien se ve arrastrado en un viaje irreversible con sus hijos en aras de proteger a su hija. Mahir, quien los ayuda con sentimientos humanitarios y los lleva a su automóvil, aún no sabe que cambiará el destino tanto de él como de Asiye y sus hijos con esta decisión que ha tomado. Para Asiye, quien se refugió en la Mansión Demirhan gracias a Mahir, esto no es una salvación, sino el comienzo de una guerra completamente nueva.;https://image.tmdb.org/t/p/original/l4AxEMRyaGWDI6ZqMNiyulZRYqz.jpg;https://image.tmdb.org/t/p/original/pu6NbWM8iiQvN5uVFzCVw2IXWw9.jpg;Drama;6.6;1;26;https://www.themoviedb.org/tv/152326;T1:26;Öykü Karayel (Asiye), Akın Akınözü (Cemal), Sarp Apak (Mahir), Meriç Aral (Helin), Esra Dermancıoğlu (Zahide), Müfit Kayacan (Harun);https://image.tmdb.org/t/p/w185/rzMUT2OMgnlsDLKUIdPDM0q2mgf.jpg, https://image.tmdb.org/t/p/w185/sCLpX3ozets9eMqOSMQylQGexRE.jpg, https://image.tmdb.org/t/p/w185/5DxDhhLS7CWp6dSjDzrsaw0eclv.jpg, https://image.tmdb.org/t/p/w185/X3p7oGxRH2lrqMSWEM69He0Txk.jpg, https://image.tmdb.org/t/p/w185/d8GubeGUpIqFMnpEGaZ3dlhBCZq.jpg, https://image.tmdb.org/t/p/w185/2QVDWWQj45uOgnD2DUkB1tC5LWt.jpg;Director: Emre Kabakuşak;Hercai, Bel-Air, Mi otra yo, Mi nombre es Farah, El Museo de la Inocencia;
El Otro Lado del Paraiso;El Otro Lado del Paraíso;TMDB;2017 - 2018;La trama tiene dos fases y comienza en Tocantins. La primera fase, establecida en 2007, presenta a la profesora Clara, una inocente joven huérfana que vive con su abuelo Josafá dueño de un bar, en Jalapão. Ella conoce a Gael, un heredero de una familia en decadencia de Palmas, y termina enamorándose de él. Sin embargo, Clara sufre de su carácter explosivo y extremadamente sexista y termina siendo aconsejada por Sophia.;https://image.tmdb.org/t/p/original/ig6uY17kaD25ndkBOPEv2aU7wcK.jpg;https://image.tmdb.org/t/p/original/de2jfUW4E3X3jl8Tf62BgRPDMHd.jpg;Telenovela, Drama, Misterio;6.192;1;173;https://www.themoviedb.org/tv/74615;T1:173;Bianca Bin (Clara Tavares Barbosa), Glória Pires (Maria Elizabeth Barbosa Montserrat (Beth) / Maria Eduarda Feijó (Duda)), Marieta Severo (Sophia Monserrat), Sérgio Guizé (Gael Monserrat), Rafael Cardoso (Renato Loureiro), Thiago Fragoso (Patrick de Sá Junqueira);https://image.tmdb.org/t/p/w185/vzGF7iuevixDOTda1jnISHhTRid.jpg, https://image.tmdb.org/t/p/w185/nYJS9V5Zqw81cMMSYAJMVhTZPj4.jpg, https://image.tmdb.org/t/p/w185/912AulEGxubRlKsmNYVLrTmOVro.jpg, https://image.tmdb.org/t/p/w185/dikSjKYs9RpQj3ydlvn7RKWnW45.jpg, https://image.tmdb.org/t/p/w185/1zCxbTHm8FhpvTKZGw95nEHluNv.jpg, https://image.tmdb.org/t/p/w185/r513jKVbsgwnvLgA6e5xEzTfAi2.jpg;Creador: Walcyr Carrasco | Director: André Felipe Binder, Mauro Mendonça Filho;Land of Desire, Rastros de Mentiras, Manía de Ti, Rebirth, India, una historia de amor;
El Sultan;El Sultan;TMDB;2011 - 2013;Tras la muerte de su padre, Suleiman se va del lado de su esposa e hijo y parte hacia Constantinopla, actual Estambul, para ser nombrado Sultán. Suleiman asciende al poder y llegará a construir uno de los imperios más grandes y poderosos de su época. No pasa mucho tiempo hasta que Suleiman cae locamente enamorado de Alexandra la Rossa, una hermosa joven cristiana que fue vendida al palacio de Crimea. Alexandra se casa con Suleimán y juntos comienzan su largo reinado. Impulsada por la venganza y un deseo insaciable de poder, Alexandra manipula sin piedad a Suleiman para que haga cumplir sus deseos.;https://image.tmdb.org/t/p/original/3G6oMMpBboyb0mQZwaxym7hGDAQ.jpg;https://image.tmdb.org/t/p/original/r3MaA4AQYehLKzlguwpBEYYe4NT.jpg;Drama;9.229;4;134;https://www.themoviedb.org/tv/96157;T1:51|T2:78|T3:4|T4:1;Hatil ergenç, Meryem Uzerli, Nebahat Çehre, Okan Yalabık, Selma Ergeç, Nur Fettahoğlu;, https://image.tmdb.org/t/p/w185/xWb9GuPDFmrLCpuocFs45O3rG0W.jpg, https://image.tmdb.org/t/p/w185/sWqAQdUAM5RJS0xdksHJQbnB5tb.jpg, https://image.tmdb.org/t/p/w185/xWbbpbln5lL2nlaPKDzGrxWe10E.jpg, https://image.tmdb.org/t/p/w185/8pNvPKs1WeUbPW4UbOr3XMCjobj.jpg, https://image.tmdb.org/t/p/w185/yMxCbHQebr1ZVjOphUw3V1U5anC.jpg;Creador: Meral Okay;Jenni Rivera: Mariposa de Barrio, Ambitions, Tyler Perry's Ruthless, Bel-Air, Los no elegidos;
Ellas Soy Yo Gloria Trevi;Gloria Trevi: Ellas soy yo;TMDB;2023 - 2023;Esta serie biográfica revela el enigmático viaje de Gloria Trevi, una mujer que desafió las convenciones, venció la adversidad y encontró la redención a través de su espíritu inquebrantable.;https://image.tmdb.org/t/p/original/sWbTwoCTwa5VMxLXaae9qbkeOro.jpg;https://image.tmdb.org/t/p/original/eyXpMDuUuBlgQEGx3U1mDoC0o3J.jpg;Drama, Documental;7.8;1;50;https://www.themoviedb.org/tv/231952;T1:50;Scarlet Gruber (Gloria Trevi), Jorge Poza (César Augusto Londoño), Ingrid Martz (Gloria Ruiz Arredondo), Bruno Romagnoli (Nico Tronic), Jan (Fernando Galeana), Norma Herrera;https://image.tmdb.org/t/p/w185/wYK2WJpkkJlPspF99UIv1hfMRyp.jpg, https://image.tmdb.org/t/p/w185/vSk1tUuzFlZXT0bwaY7rpCVsYFe.jpg, , , https://image.tmdb.org/t/p/w185/kSDshNPoXW0RT6B1gKBvQ4Gcuvm.jpg, https://image.tmdb.org/t/p/w185/2ASRcB2A4Vnq15FrvPoqemYrm8v.jpg;Creador: Carla Estrada | Director: Carla Estrada;El juramento, José José: El Príncipe de la Canción, Hugo Chávez, El Comandante, Rescue 911, The Test;
En Todas Partes Tu;En todas partes, tú;TMDB;2019 - 2019;Selin es una chica con ambición que busca una casa para independizarse, mientras que Demir es un empresario que ha pasado un año en el extranjero y vuelve a Estambul con la idea de vivir en la casa en la que creció. Tras encontrar la casa ideal, ambos deciden comprarla, pero ambos descubren que cada uno de ellos posee la mitad de la propiedad, por lo que estarán obligados a convivir bajo el mismo techo. La situación se vuelve todavía más complicada cuando Selin descubre que Demir es además su nuevo jefe.;https://image.tmdb.org/t/p/original/9I0gnr2qlyrhNppmToN9DAyXWYF.jpg;https://image.tmdb.org/t/p/original/ffzhUpoAh6zqgzSTwSzfxnALzzs.jpg;Comedia;7.875;1;23;https://www.themoviedb.org/tv/90302;T1:23;Furkan Andıç (Demir Erendil), Aybüke Pusat (Selin Sever), Ali Yağcı (Burak Yangel), Aslıhan Malbora (Ayda Akman), Ali Gözüşirin (İbrahim Tunç), Deniz Işın (Merve Mutlu);https://image.tmdb.org/t/p/w185/8SLsP6FPCgoJURPKSdzjvmu7Itc.jpg, https://image.tmdb.org/t/p/w185/3NLxN0Y2MW7RVfWfyifKCYCjjLD.jpg, https://image.tmdb.org/t/p/w185/8qTvyWDUHhtMo3o51RWrwxq2Fmr.jpg, https://image.tmdb.org/t/p/w185/lGc6gbYHlgVSn0ksOQjf9XzkIRy.jpg, https://image.tmdb.org/t/p/w185/gl9lgurgT7PatfeIdG3b8aB1aox.jpg, https://image.tmdb.org/t/p/w185/ao7KDiTYgjfLsQbQqwpujD1dDKF.jpg;Creador: Ömer Özgüner, Ümmü Burhan | Director: Ender Mıhlar;Te Alquilo Mi Amor, Colin de cuentas, Clásicos modernos, Hasta que la muerte nos separe, Superdotado;
ENTREGA;ENTREGA;TMDB;2019 - 2019;72 capitulos. Manuel es un joven profesor de Historia de Cuba en la enseñanza preuniversitaria. Durante dos años no ejerce el magisterio por discrepancias de los superiores con sus métodos de impartir la asignatura. Entonces se dedicó a trabajar junto a su padre en el negocio del cultivo y comercialización de flores. Gracias a ello tiene un estatus económico muy favorable. Sin embargo, aún siente la nostalgia por su profesión, pese a las críticas y presiones de su pareja.  La invitación de un viejo amigo a formar parte del claustro de profesores de un preuniversitario motivó a Manuel a volver a las aulas y a enfrentarse a un grupo de adolescentes difíciles, desinteresados e inmaduros.  Con el fin de despertar en ellos el amor a la historia, la patria, la cultura y de inculcarles valores morales, crea su propio método de enseñanza, no aceptado por otros profesores más tradicionales, quienes prefieren aferrarse a las normas establecidas y convivir con el desinterés de los jóvenes.;https://pics.filmaffinity.com/entrega-627051140-large.jpg;Drama;8.0;1;72;https://www.themoviedb.org/tv/281904;;T1:1;Ray Cruz, Patricio Wood, Arianna Nuñez, Kenny Cobo;, , , ;Creador: Amílcar Salatti | Director: Alberto Luberta Martínez;Jenni Rivera: Mariposa de Barrio, Descubriendo a Nina, Doña bella, Ambitions, Pasión de gavilanes;
Kuzey Yıldızı: İlk Aşk;Estrella de amor;TMDB;2019 - 2021;Después de que su esposa lo abandone en Estambul, Kuzey regresa a su pueblo natal, donde nadie quiere relacionarse con él por una traición cometida contra la mujer que lo amaba veinte años atrás.;https://image.tmdb.org/t/p/original/ufpbzxbIKekjwG2bLgqXtv5tbYU.jpg;https://image.tmdb.org/t/p/original/A9ttUJVTw6VpbIvX3mMuTHW6PVW.jpg;Drama;8.308;2;64;https://www.themoviedb.org/tv/93216;T1:29|T2:35;Aslıhan Güner (Yıldız Kadıoğlu), İsmail Demirci (Kuzey Mollaoğlu), Nilsu Berfin Aktaş (Gökçe Mollaoğlu), Toygan Avanoğlu (Sefer Kadıoğlu), Zeynep Kankonde (Pembe Mollaoğlu), Hüseyin Soysalan (Şeref Mollaoğlu);https://image.tmdb.org/t/p/w185/gqTStfMsRoc9iWZzJCGjlkiEdaN.jpg, https://image.tmdb.org/t/p/w185/Av0tUgcbFF5mr4WO3qcvAHBMgvu.jpg, https://image.tmdb.org/t/p/w185/iuLzabYbtPyj4tf0faNmYtlJNOP.jpg, https://image.tmdb.org/t/p/w185/yjXlAXwDIO9zzuSoM8XOPuWiYaU.jpg, https://image.tmdb.org/t/p/w185/jimRmLKus5HS5Gv9H0stQzF36yC.jpg, https://image.tmdb.org/t/p/w185/2Gzdt2prVmR0kXg5aXvI3091dgT.jpg;Creador: Ersoy Güler;El Museo de la Inocencia, Wounded Birds, Old Money, Mi otra yo, Mi hogar, mi destino;
Gonulcelen;Gonulcelen;TMDB;2010 - 2011;Hasret, una vendedora ambulante de Estambul y el músico Murat se conocen en una boda en la calle mientras ella cantaba. Una apuesta hace que Murat quiera convertirla en una celebridad y para ella es la oportunidad de salir de la pobreza.;https://image.tmdb.org/t/p/original/xcSAoTuWfDdg3talkwJynr4TDHS.jpg;https://image.tmdb.org/t/p/original/lQWu7cV6N8ysaK0PgqcgAXJYX20.jpg;Drama;8.067;2;56;https://www.themoviedb.org/tv/49767;T1:16|T2:40;Tuba Büyüküstün (Hasret), Cansel Elçin (Murat), Onur Saylak (Levent), Günay Karacaoğlu (Gülnaz), Ayda Aksel (Nesrin), İlhan Şeşen (Ethem);https://image.tmdb.org/t/p/w185/14QRLZqXAZglMB7Z25uXg6IG3LG.jpg, https://image.tmdb.org/t/p/w185/aAPnKmKdrhiKHJAjV4RAhvPy87S.jpg, https://image.tmdb.org/t/p/w185/zrVHIFWuYuggeOOKdRnFtW69uYt.jpg, https://image.tmdb.org/t/p/w185/89R4B8WVYcWV4LARoutb9nABMKf.jpg, https://image.tmdb.org/t/p/w185/x0WilrNHAl1Vwcrde82GIsca4Lc.jpg, https://image.tmdb.org/t/p/w185/gyLbgEXimWmuPwMJiydZJu3mviP.jpg;Creador: Berkun Oya, Nuran Evren Şit | Director: Cevdet Mercan, Ahmet Katıksız;Amor eterno, Amor Imposible, Una nueva vida, Melissa (La niña del valle verde), Sühan: Vengaza y Amor;
Gulcemal;Amor Imposible;TMDB;2023 - 2023;Zafer se ve obligada a abandonar al amor de su vida para casarse con Saim, con quien engendra dos hijos, Gülcemal y Gülendam, pero cuando su amado Mustafá regresa, ellos deciden dejarlo todo atrás e iniciar su vida juntos. Saim, incapaz de soportar la traición se suicida, en respuesta, el pequeño Gülcemal asesina al hombre que le robó el amor de su madre y ella lo maldice. Ese niño, condenado al desamor, se convierte en un alma despiadada que regresa para vengarse, pero no es el único, porque Zafer usará a Deva, la hija de su único gran amor, para hacerle aún más daño, sin contar que Firuse, la madre de la joven, ha vuelto de la muerte para llevarse a su hija.;https://image.tmdb.org/t/p/original/cSsTRvBg566n5RidSgnzHvXdhDo.jpg;https://image.tmdb.org/t/p/original/uViff0bzXy95HK1fvi36UogLTNx.jpg;Drama;8.26;1;22;https://www.themoviedb.org/tv/224054;T1:13;Murat Ünalmış (Gülcemal Şahin), Melis Sezen (Deva Nakkaşoğlu), Ayda Aksel (Zafer Pehlivan), Edip Tepeli (Mert Çakır), Nilay Erdönmez (Gülendam Şahin), Cahit Gök (Vefa (Ali Türkoğlu));https://image.tmdb.org/t/p/w185/9RgVUOgAI82nNw8eJkeKUl91SXk.jpg, https://image.tmdb.org/t/p/w185/kiTyCXXX1s6vtwtjKGCYKkhwTsx.jpg, https://image.tmdb.org/t/p/w185/x0WilrNHAl1Vwcrde82GIsca4Lc.jpg, https://image.tmdb.org/t/p/w185/sbH9x2RkFOC8N0qKYNG6kAfbdBX.jpg, https://image.tmdb.org/t/p/w185/iD5Hhp4fewHEUIEe3kOMdAIh2Xe.jpg, https://image.tmdb.org/t/p/w185/k0CD1F7x2QrncSOKyafz91h71oX.jpg;Creador: Yusuf Pirhasan;Amor eterno, Fugitiva, Melissa (La niña del valle verde), No te vayas sin mí, Sühan: Vengaza y Amor;https://www.youtube.com/watch?v=00QzEEMNda4
